url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/kong/5de81b54-fd89-46b2-9e6f-5952ab27887e	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Specialist Solutions Engineer (AI Focus)	Kong	added
https://jobs.ashbyhq.com/scrunch-ai/254a145a-9693-4a11-80ed-6b5b24ff42b1	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer	Scrunch AI	added
https://jobs.ashbyhq.com/sully-ai/7a4e96f8-a5d1-4bef-9c5a-96d29903f20d	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer	Sully.ai	added
https://jobs.ashbyhq.com/amper/b6c3fd99-0b30-4d42-83a6-72be95b0637a	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer - Integrations	Amper	added
https://jobs.ashbyhq.com/braintrust/e1bc9095-2460-4cf4-957f-ba076b6cb5ba	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer (East Region)	Braintrust	added
https://jobs.ashbyhq.com/taktile/24e3b7bd-8b72-49c0-a5ea-497e3e5870be	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Senior Solutions Engineer	Taktile	added
https://jobs.ashbyhq.com/Wisdom%20AI/670db63e-0c54-4409-8f5c-9de86b185c09	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer (Eastern Time Zone)	Wisdom AI	added
https://jobs.ashbyhq.com/sereact/6e923280-8f61-4e8a-8bc1-74a9ad015995/application	2026-04-18	Ashby — Solutions Engineer (WebSearch)	Solutions Engineer (US)	Sereact	added
https://jobs.ashbyhq.com/quora/6df58d3e-855a-423e-99fd-a56ac8824b34	2026-04-18	Ashby — AI Engineer (WebSearch)	AI Engineer New Grad 2025-2026 (Poe)	Quora	added
https://job-boards.greenhouse.io/hightouch/jobs/5542602004	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Software Engineer, AI Agents	Hightouch	added
https://job-boards.greenhouse.io/vulncheck/jobs/4219227009	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Senior AI Engineer	VulnCheck	added
https://job-boards.greenhouse.io/corestory/jobs/4984207007	2026-04-18	Greenhouse — AI Engineer (WebSearch)	AI Engineer	CoreStory	added
https://job-boards.greenhouse.io/grafanalabs/jobs/5839189004	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Senior Software Engineer, AI and Automation	Grafana Labs	added
https://job-boards.greenhouse.io/grafanalabs/jobs/5689200004	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Senior AI Engineer	Grafana Labs	added
https://job-boards.greenhouse.io/gleanwork/jobs/4659510005	2026-04-18	Greenhouse — SA & FDE (WebSearch)	Strategic Solutions Engineer	Glean	added
https://job-boards.greenhouse.io/myriad360/jobs/8402449002	2026-04-18	Greenhouse — AI Engineer (WebSearch)	AI Automation Engineer Tech Lead	Myriad360	added
https://job-boards.greenhouse.io/anthropic/jobs/4985877008	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed Engineer, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/cresta/jobs/4759347008	2026-04-18	FDE & Deployed Engineer (WebSearch)	Senior Forward Deployed Engineer (AI Agent)	Cresta	added
https://job-boards.greenhouse.io/xai/jobs/4701523007	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed AI Engineer - Enterprise	xAI	added
https://job-boards.greenhouse.io/labelbox/jobs/4640927007	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed Engineer	Labelbox	added
https://job-boards.greenhouse.io/trace3/jobs/6163178	2026-04-18	Greenhouse — SA & FDE (WebSearch)	Solutions Architect, AI (Remote)	Trace3	added
https://job-boards.greenhouse.io/workato/jobs/8320989002	2026-04-18	Greenhouse — SA & FDE (WebSearch)	Senior Forward Deployed Engineer	Workato	added
https://job-boards.greenhouse.io/smartsheet/jobs/7798778	2026-04-18	FDE & Deployed Engineer (WebSearch)	Senior Forward Deployed AI Engineer	Smartsheet	added
https://job-boards.greenhouse.io/togetherai/jobs/4222183007	2026-04-18	Greenhouse — SA & FDE (WebSearch)	AI Solutions Architect	Together AI	added
https://job-boards.greenhouse.io/devrev/jobs/5528192004	2026-04-18	Greenhouse — SA & FDE (WebSearch)	Forward Deployed Architect	DevRev	added
https://job-boards.greenhouse.io/anthropic/jobs/4461444008	2026-04-18	Greenhouse — SA & FDE (WebSearch)	Solutions Architect, Applied AI (Industries)	Anthropic	added
https://job-boards.greenhouse.io/defenseunicorns/jobs/4980238007	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed AI Engineer	Defense Unicorns	added
https://job-boards.greenhouse.io/ujet/jobs/4677625005	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Senior AI Engineer	UJET	added
https://job-boards.greenhouse.io/assetwatch/jobs/4662993005	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Sr. Applied AI Engineer	AssetWatch	added
https://job-boards.greenhouse.io/perfectserve/jobs/5830849004	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Software Engineer, Full Stack AI	PerfectServe	added
https://job-boards.greenhouse.io/axiomaticai/jobs/4720346101	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Applied AI Engineer	Axiomatic AI	added
https://job-boards.greenhouse.io/agencywithin/jobs/5056863007	2026-04-18	Greenhouse — AI Engineer (WebSearch)	AI Engineer	WITHIN	added
https://job-boards.greenhouse.io/censys/jobs/7999350002	2026-04-18	Greenhouse — Software Engineer (WebSearch)	Senior Software Engineer, AI/LLM	Censys	added
https://job-boards.greenhouse.io/mercury/jobs/5850044004	2026-04-18	Greenhouse — Software Engineer (WebSearch)	Senior Software Engineer - AI Enablement	Mercury	added
https://job-boards.greenhouse.io/wayvia/jobs/8194225002	2026-04-18	Greenhouse — Software Engineer (WebSearch)	Software Engineer - AI	Wayvia	added
https://job-boards.greenhouse.io/gametimeunited/jobs/4967902008	2026-04-18	Greenhouse — Software Engineer (WebSearch)	Senior Backend Engineer II - Tools and Automation	Gametime United	added
https://job-boards.greenhouse.io/knock/jobs/5763234004	2026-04-18	Greenhouse — Software Engineer (WebSearch)	Senior Software Engineer (Backend)	Knock	added
https://job-boards.greenhouse.io/humanagency/jobs/7645002003	2026-04-18	Greenhouse — AI Engineer (WebSearch)	Applied AI Engineer	Human Agency	added
https://job-boards.greenhouse.io/rhinofederatedcomputing/jobs/4001057009	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed Engineer - AI	Rhino Federated Computing	added
https://jobs.lever.co/palantir/636fc05c-d348-4a06-be51-597cb9e07488	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed AI Engineer	Palantir	added
https://jobs.lever.co/agiloft/e85a0460-4a4c-48b4-a42e-0ff4f124d890	2026-04-18	FDE & Deployed Engineer (WebSearch)	Forward Deployed Engineer - AI Solutions	Agiloft	added
https://www.workatastartup.com/jobs/71163	2026-04-18	YC Jobs — Applied AI (WebSearch)	Founding Applied AI Engineer	Flair Labs	added
https://www.workatastartup.com/jobs/67226	2026-04-18	YC Jobs — Applied AI (WebSearch)	Founding Full Stack Engineer (LLM, Applied AI)	Berry	added
https://careers.zoom.us/jobs/contact-center-consulting-solutions-engineer-remote-united-states	2026-04-18	Contact Center AI (WebSearch)	Contact Center Solutions Engineer (Remote)	Zoom	added
https://careers.zoom.us/jobs/contact-center-partner-solutions-engineer-remote-united-states	2026-04-18	Contact Center AI (WebSearch)	Contact Center Partner Solutions Engineer (Remote)	Zoom	added
